seed,mode,strength,strength_label,break_level,final_global_overlap,failure_events,mean_recovery_score
20,off,0.0,off,3,0.9372097918372677,4,0.5073539403891828
21,off,0.0,off,3,0.9532741090119742,3,0.5967396678123998
22,off,0.0,off,3,0.9450481788802622,3,0.5750586368036578
23,off,0.0,off,2,0.9532432316376385,3,0.5499480952670511
24,off,0.0,off,3,0.9571250692099617,2,0.6224867894189509
25,off,0.0,off,2,0.9503354453649422,3,0.5821296569138054
26,off,0.0,off,2,0.9661077580909064,2,0.6046564395603043
27,off,0.0,off,3,0.9257736614727605,4,0.4996556012722264
28,off,0.0,off,3,0.9506246697892967,3,0.5276237871341075
29,off,0.0,off,3,0.919634346584178,4,0.5098389692040853
30,off,0.0,off,3,0.9472534696541285,4,0.5516345596309267
31,off,0.0,off,3,0.9306591469421617,3,0.558435254431242
32,off,0.0,off,3,0.9438963670604084,4,0.5055186537274167
33,off,0.0,off,3,0.9544917997143575,3,0.5570541150599476
34,off,0.0,off,3,0.9587518395872946,2,0.6143501029645005
35,off,0.0,off,2,0.968473097330327,3,0.5691290889166344
36,off,0.0,off,3,0.9267023242632585,3,0.5300080436250761
37,off,0.0,off,3,0.944627139292817,2,0.5441137990997121
38,off,0.0,off,3,0.9395193466794813,3,0.538929467615305
39,off,0.0,off,4,0.9222058428814967,4,0.4580886568450177
40,off,0.0,off,3,0.918073894513001,4,0.47957059204629265
41,off,0.0,off,3,0.954163915884526,3,0.5803681581847356
42,off,0.0,off,3,0.9405166301193677,4,0.4933215989710511
43,off,0.0,off,3,0.9571783007016991,3,0.6088805807016529
44,off,0.0,off,3,0.9514802503608392,3,0.5626910361750529
45,off,0.0,off,2,0.9487294226562051,3,0.5720078671442013
46,off,0.0,off,3,0.9421963126920198,3,0.5739344061400824
47,off,0.0,off,2,0.9664441861093286,2,0.6594566998285162
48,off,0.0,off,2,0.9603651851017461,3,0.6068069475616271
49,off,0.0,off,3,0.955779701901218,3,0.5347047464065979
50,off,0.0,off,3,0.9422927923270885,3,0.5447583656255995
20,on,0.01,0.01,3,0.9372295490953373,4,0.5083908248414446
20,on,0.03,0.03,3,0.9322293799355549,3,0.5321753738864737
20,on,0.05,0.05,3,0.9365200075878144,4,0.5155145691579569
20,on,0.08,0.08,3,0.9319240689041507,3,0.5117475506325949
21,on,0.01,0.01,3,0.9526582510131502,3,0.5952754492675898
21,on,0.03,0.03,3,0.9413366334973942,3,0.5395111375183621
21,on,0.05,0.05,3,0.9508226232882708,3,0.5367020211630171
21,on,0.08,0.08,3,0.944168717432947,3,0.5631108952916885
22,on,0.01,0.01,3,0.9412621999100742,4,0.4952908741917401
22,on,0.03,0.03,3,0.9337167319132342,3,0.5387248999442485
22,on,0.05,0.05,3,0.9412397301486796,3,0.5455532671618487
22,on,0.08,0.08,3,0.9401892657149791,3,0.5211642667996049
23,on,0.01,0.01,2,0.9527559067207267,4,0.535758051757167
23,on,0.03,0.03,2,0.9528698542236886,4,0.5257042318025897
23,on,0.05,0.05,2,0.9526967946925977,3,0.5621952246643964
23,on,0.08,0.08,2,0.946730826463433,2,0.5824230879938711
24,on,0.01,0.01,3,0.9531437118255974,2,0.6207651120539036
24,on,0.03,0.03,3,0.9574894850114029,2,0.6095994644652416
24,on,0.05,0.05,3,0.9580074538351311,2,0.6110338374995331
24,on,0.08,0.08,3,0.957815856946565,2,0.6020981043301631
25,on,0.01,0.01,2,0.9504571614061691,3,0.581348013030572
25,on,0.03,0.03,2,0.9507392540387339,3,0.5544789451869491
25,on,0.05,0.05,2,0.9491933571668695,3,0.5980608862742488
25,on,0.08,0.08,2,0.9474759945310948,4,0.5477461364802712
26,on,0.01,0.01,2,0.966283989166662,3,0.5679321069828336
26,on,0.03,0.03,2,0.9657080062167734,3,0.5770281944127841
26,on,0.05,0.05,2,0.9615708014989064,2,0.6012044377532687
26,on,0.08,0.08,2,0.951972289615821,3,0.549183078197486
27,on,0.01,0.01,3,0.9145980926955652,4,0.47958508557168694
27,on,0.03,0.03,3,0.9193727328380844,4,0.4988408850008541
27,on,0.05,0.05,3,0.921223622977221,3,0.5115350424309685
27,on,0.08,0.08,3,0.923327544473682,4,0.5012585667266086
28,on,0.01,0.01,3,0.9502653017009308,3,0.563825651644782
28,on,0.03,0.03,3,0.9434907059833317,4,0.5019408342968102
28,on,0.05,0.05,3,0.9423894451711584,4,0.4979830184997365
28,on,0.08,0.08,3,0.9423336147255162,3,0.5487845263410905
29,on,0.01,0.01,3,0.9204878686309852,4,0.4983939886113218
29,on,0.03,0.03,3,0.919687865541337,3,0.49687247432920917
29,on,0.05,0.05,3,0.9211366724337756,3,0.5081238666105968
29,on,0.08,0.08,3,0.9158450574980177,4,0.500518686848041
30,on,0.01,0.01,3,0.9473858608123062,4,0.5506762578274192
30,on,0.03,0.03,3,0.9479368794126329,2,0.6049356240564846
30,on,0.05,0.05,3,0.9437545189626145,3,0.5580170344531236
30,on,0.08,0.08,3,0.9435118712695889,3,0.5182205979500695
31,on,0.01,0.01,3,0.9306382681678417,3,0.5476081869573759
31,on,0.03,0.03,3,0.930697937174038,3,0.5604947366679108
31,on,0.05,0.05,3,0.9234269361796793,3,0.5549998413071603
31,on,0.08,0.08,3,0.927657395414359,4,0.48198332253790105
32,on,0.01,0.01,3,0.9432539557343504,4,0.49630521126367383
32,on,0.03,0.03,4,0.9417775743036176,4,0.4965554935794036
32,on,0.05,0.05,3,0.9314658560110652,4,0.5226600316510274
32,on,0.08,0.08,3,0.9367880910271162,4,0.5072128571187093
33,on,0.01,0.01,3,0.954994036916369,4,0.5376466429556527
33,on,0.03,0.03,3,0.9505397591080662,2,0.5820026280223063
33,on,0.05,0.05,2,0.9543682106436675,4,0.5528817420935036
33,on,0.08,0.08,3,0.9513942066777653,4,0.5609186516293626
34,on,0.01,0.01,3,0.9584884441986892,2,0.6259868172023073
34,on,0.03,0.03,3,0.9579619651124655,3,0.5911101776608502
34,on,0.05,0.05,3,0.9481775729327793,2,0.6044435032497876
34,on,0.08,0.08,3,0.9494772169309218,3,0.6070667290151697
35,on,0.01,0.01,2,0.9682568230205194,2,0.6046907117264131
35,on,0.03,0.03,2,0.9683547996643048,2,0.5754562256292327
35,on,0.05,0.05,2,0.9623250639157518,2,0.5861843535712303
35,on,0.08,0.08,2,0.9633684864326587,2,0.584544862570959
36,on,0.01,0.01,3,0.9191825345317637,4,0.5120107337014713
36,on,0.03,0.03,3,0.9232317455197161,3,0.5225534006167408
36,on,0.05,0.05,3,0.9222944212179097,3,0.5247036385920972
36,on,0.08,0.08,3,0.9288652394001886,3,0.5259960026508383
37,on,0.01,0.01,3,0.9445810409949208,2,0.54349019438633
37,on,0.03,0.03,3,0.9386256199297063,2,0.5588684850739513
37,on,0.05,0.05,3,0.9400656638180738,4,0.4672414050796326
37,on,0.08,0.08,3,0.9403163820306949,4,0.45995232230409583
38,on,0.01,0.01,3,0.9398586997405891,3,0.5175928235279089
38,on,0.03,0.03,3,0.935824433051343,3,0.5465891783896885
38,on,0.05,0.05,3,0.9329027759818039,4,0.5188576519394715
38,on,0.08,0.08,3,0.9370607807233327,2,0.5766677532698061
39,on,0.01,0.01,3,0.9221173426272682,4,0.45827178849850503
39,on,0.03,0.03,3,0.9214174872403135,4,0.5177382819362232
39,on,0.05,0.05,3,0.9194830624889615,4,0.518004242508694
39,on,0.08,0.08,3,0.9167294076103665,3,0.5143266437540553
40,on,0.01,0.01,3,0.9121843004068357,4,0.46303323684545905
40,on,0.03,0.03,3,0.916478923331222,3,0.512222040017925
40,on,0.05,0.05,3,0.9144619517425726,4,0.4703692979940734
40,on,0.08,0.08,3,0.9154036802534634,4,0.46161753570550884
41,on,0.01,0.01,2,0.954122397575277,3,0.5755935160063803
41,on,0.03,0.03,2,0.9536631450315879,3,0.5790819468823631
41,on,0.05,0.05,2,0.9532423066569268,3,0.5510638027648423
41,on,0.08,0.08,2,0.9467626564229188,4,0.5346716436057901
42,on,0.01,0.01,3,0.9347290524999127,4,0.5124816917157373
42,on,0.03,0.03,3,0.941030601392747,4,0.4905686120156883
42,on,0.05,0.05,3,0.9415877826475623,4,0.4980359834108195
42,on,0.08,0.08,3,0.9425597880247328,4,0.482999005628681
43,on,0.01,0.01,3,0.9561628710794269,3,0.5755323755245038
43,on,0.03,0.03,3,0.950542512272576,3,0.611589644748091
43,on,0.05,0.05,2,0.9496391156193997,3,0.5993992258324811
43,on,0.08,0.08,2,0.9525764989932728,3,0.6047384113183257
44,on,0.01,0.01,3,0.9465538551621827,3,0.5594884034750282
44,on,0.03,0.03,3,0.9482048306527207,3,0.5315469358631458
44,on,0.05,0.05,3,0.9477419685922588,3,0.5515766869088867
44,on,0.08,0.08,3,0.9458220318087877,3,0.5355371971414539
45,on,0.01,0.01,2,0.9485296575485441,3,0.5707924585508614
45,on,0.03,0.03,2,0.9430246252090425,4,0.5111227100924105
45,on,0.05,0.05,2,0.9373164185356347,4,0.5153936331904354
45,on,0.08,0.08,2,0.9446058308967642,3,0.5351350718854407
46,on,0.01,0.01,3,0.9420458495887244,3,0.5729842106260753
46,on,0.03,0.03,3,0.9427278057577825,3,0.5832433974170405
46,on,0.05,0.05,3,0.9359188285529544,3,0.5594762188180306
46,on,0.08,0.08,3,0.9350351624639017,3,0.5562574575366249
47,on,0.01,0.01,2,0.9633401966452753,2,0.6474740544490393
47,on,0.03,0.03,2,0.9635403528221596,2,0.5897280141673326
