seed,family,break_level,strength_label,L0_mean_degree,L0_largest_component_fraction,L0_clustering_coefficient,L0_connectivity_diameter,L0_transport_efficiency,L0_persistence_score,L0_recovery_score,L0_local_overlap,L0_perturbation_sensitivity,L0_edge_count,L1_mean_degree,L1_largest_component_fraction,L1_clustering_coefficient,L1_connectivity_diameter,L1_transport_efficiency,L1_persistence_score,L1_recovery_score,L1_local_overlap,L1_perturbation_sensitivity,L1_edge_count,L2_mean_degree,L2_largest_component_fraction,L2_clustering_coefficient,L2_connectivity_diameter,L2_transport_efficiency,L2_persistence_score,L2_recovery_score,L2_local_overlap,L2_perturbation_sensitivity,L2_edge_count,delta_persistence_1_to_2,delta_recovery_1_to_2,delta_local_overlap_1_to_2
23,break_2,2,off,23.796875,1.0,0.6882304418980095,6.0,0.4877276082677165,0.22844245854211406,0.9999999999999993,1.0,2.220446049250313e-16,1523.0,68.71875,1.0,0.7851686076671246,3.0,0.7680241141732284,0.25385778304700546,0.737404542251535,0.9892540918778892,0.010745908122110848,4398.0,111.125,1.0,0.9140561344096076,2.0,0.9375,0.1335217952159389,0.4856951086719885,0.9926032869090743,0.027689559579215817,7112.0,-0.12033598783106655,-0.25170943357954645,0.003349195031185137
25,break_2,2,off,22.53125,1.0,0.6681506483261732,6.0,0.4876291830708661,0.2112637198759246,1.0000000000000004,1.0,0.0,1442.0,72.25,1.0,0.7920636532680214,3.0,0.7826443569553806,0.23511691720353142,0.758175721375193,0.987840827227347,0.012159172772652993,4624.0,111.390625,1.0,0.9141200030181005,2.0,0.9385457677165354,0.1021170737890718,0.6534846059261847,0.9953995271709865,0.02387989480762087,7129.0,-0.13299984341445964,-0.10469111544900822,0.007558699943639446
26,break_2,2,off,22.34375,1.0,0.6725943725148333,6.0,0.47976336942257214,0.21446906317108094,0.9999999999999997,1.0,1.1102230246251565e-16,1430.0,67.921875,1.0,0.7826067703085116,3.0,0.7650098425196851,0.24769502356239562,0.7499230496636158,0.9877924881314478,0.012207511868552179,4347.0,109.5625,1.0,0.9038746068166549,2.0,0.9313484251968503,0.10754630458124552,0.46447026347551656,0.9951836509862388,0.02437075123846133,7012.0,-0.1401487189811501,-0.2854527861880992,0.007391162854791022
35,break_2,2,off,21.625,1.0,0.6736248906811606,6.0,0.4673556430446194,0.22181180654974944,0.9999999999999997,1.0,1.1102230246251565e-16,1384.0,64.296875,1.0,0.7712826910086987,3.0,0.7501025262467192,0.2604623374492961,0.6917930724122426,0.9849531302837531,0.015046869716246913,4115.0,107.234375,1.0,0.8929648967917541,2.0,0.9221825787401575,0.14279296408971606,0.4851858547809512,0.9967035300053941,0.024668159937533574,6863.0,-0.11766937335958003,-0.20660721763129142,0.011750399721641047
45,break_2,2,off,22.765625,1.0,0.6712347855790576,6.0,0.4843319389763779,0.22075019386781197,1.0,1.0,0.0,1457.0,70.703125,1.0,0.7855224018818961,3.0,0.7764722769028872,0.2425836241350513,0.7745579408527186,0.9863226019929185,0.013677398007081454,4525.0,110.75,1.0,0.9104135702741291,2.0,0.9360236220472441,0.11781011393462183,0.590564704969853,0.9928833628606684,0.03325969091203318,7088.0,-0.12477351020042947,-0.18399323588286554,0.006560760867749815
47,break_2,2,off,21.53125,1.0,0.6723643951712727,6.0,0.473876312335958,0.2136768149009783,0.9999999999999997,1.0,1.1102230246251565e-16,1378.0,67.1875,1.0,0.7826240814151147,3.0,0.7615034448818898,0.23622326861130993,0.8505368967027,0.9902385236787923,0.009761476321207718,4300.0,107.546875,1.0,0.897399783346311,2.0,0.9234128937007874,0.11163896593891671,0.7288067843886691,0.99648589817668,0.01786998958571573,6883.0,-0.12458430267239322,-0.12173011231403097,0.006247374497887703
48,break_2,2,off,22.984375,1.0,0.6563980327922012,6.0,0.48982119422572173,0.2225183055953233,1.0,1.0,0.0,1471.0,70.84375,1.0,0.7861740201405769,3.0,0.7768823818897638,0.23929532778573137,0.8173740182945214,0.9928676447549422,0.007132355245057842,4534.0,110.421875,1.0,0.9091646268699513,2.0,0.9347317913385826,0.09035731329038416,0.6554598202248385,0.9958918372440415,0.01597088172732941,7067.0,-0.14893801449534722,-0.16191419806968288,0.0030241924890993532
20,break_3,3,off,24.046875,1.0,0.6741554897528244,6.0,0.4946624835958005,0.22030467072297782,1.0,1.0,0.0,1539.0,71.203125,1.0,0.7909362691872575,3.0,0.7778666338582677,0.23824676389883084,0.6947475425066848,0.9885687947262743,0.011431205273725653,4557.0,111.65625,1.0,0.9154843628149153,2.0,0.9395915354330708,0.16114889047959913,0.40172596648700243,0.99118287213296,0.031447690724159094,7146.0,-0.07709787341923172,-0.2930215760196824,0.002614077406685622
21,break_3,3,off,22.390625,1.0,0.6697663657047332,6.0,0.4795480643044619,0.21641333363159151,1.0000000000000004,1.0,0.0,1433.0,68.609375,1.0,0.7825095442707249,3.0,0.7675319881889764,0.23816381084466717,0.7952323285051882,0.9909168019933218,0.009083198006678228,4391.0,109.875,1.0,0.9067130396226041,2.0,0.9325787401574803,0.13147406645192078,0.674916307963044,0.9936208909871336,0.022132377657227642,7032.0,-0.1066897443927464,-0.12031602054214419,0.002704088993811804
22,break_3,3,off,23.578125,1.0,0.6816978579098194,5.0,0.4895361712598425,0.21511125029825814,1.0,1.0,0.0,1509.0,71.671875,1.0,0.7910857405989047,3.0,0.780880905511811,0.2370537312097351,0.7714461086462797,0.9894696009507074,0.01053039904929265,4587.0,111.921875,1.0,0.9148127974389033,2.0,0.9406373031496063,0.14840208184204248,0.6381420036156968,0.9936819452009256,0.025027970700833624,7163.0,-0.08865164936769263,-0.13330410503058288,0.004212344250218214
24,break_3,3,off,23.90625,1.0,0.6769439058283467,6.0,0.4921731463254593,0.21522962151037942,1.0,1.0,0.0,1530.0,70.421875,1.0,0.7908606085045775,3.0,0.7746883202099738,0.23019938558816513,0.7870371908277174,0.9897408909176002,0.010259109082399798,4507.0,111.640625,1.0,0.913023690966122,2.0,0.9395300196850394,0.13358890330470052,0.610661050618361,0.9941327662518779,0.024632564237077048,7145.0,-0.09661048228346461,-0.17637614020935644,0.004391875334277651
27,break_3,3,off,22.0625,1.0,0.6765457268996314,7.0,0.4707296353580802,0.2087052239918874,1.0,1.0,0.0,1412.0,66.515625,1.0,0.7830315047132879,3.0,0.7583661417322834,0.2401332468384634,0.6603215668504712,0.989104452033468,0.010895547966532027,4257.0,107.28125,1.0,0.899685766577873,2.0,0.922367125984252,0.19656704843712722,0.4331348168577843,0.9916034497563695,0.028519780767007452,6866.0,-0.04356619840133619,-0.22718674999268684,0.0024989977229015192
28,break_3,3,off,22.625,1.0,0.6870693310802201,6.0,0.4700254265091864,0.2091880294082558,1.0000000000000004,1.0,-2.220446049250313e-16,1448.0,64.734375,1.0,0.7798861026692383,3.0,0.7516814304461942,0.25564453591028397,0.5980766793832717,0.9904924626615689,0.009507537338431127,4143.0,105.875,1.0,0.8899496629652197,2.0,0.9168307086614174,0.1930690393104271,0.4568674256693359,0.9944532286370337,0.021645490506764897,6776.0,-0.06257549659985687,-0.14120925371393578,0.003960765975464797
29,break_3,3,off,24.53125,1.0,0.6691589777034384,6.0,0.5007217847769029,0.2270667427225006,1.0000000000000007,1.0,-2.220446049250313e-16,1570.0,74.65625,1.0,0.8024941932412444,3.0,0.7916256561679791,0.24286696939871152,0.7962102909176865,0.9899263722715617,0.010073627728438339,4778.0,112.890625,1.0,0.9226109424942996,2.0,0.944451279527559,0.16404945120496303,0.4153024162620804,0.9923311196139595,0.027103226796134416,7225.0,-0.07881751819374849,-0.38090787465560605,0.002404747342397817
30,break_3,3,off,22.5,1.0,0.7112812477890709,6.0,0.47011154855643045,0.19915630219518016,1.0,1.0,0.0,1440.0,67.71875,1.0,0.7865178283551106,3.0,0.7628772965879266,0.24060952785731332,0.8331377216265395,0.9891510302044716,0.010848969795528407,4334.0,108.296875,1.0,0.9008364897478628,2.0,0.9263656496062992,0.21979297154617036,0.4324795458338303,0.9929233321444305,0.02513383457460794,6931.0,-0.02081655631114296,-0.40065817579270924,0.003772301939958922
31,break_3,3,off,22.328125,1.0,0.6585637367382178,6.0,0.4804564468503937,0.21216688290384156,1.000000000000001,1.0,-2.220446049250313e-16,1429.0,69.109375,1.0,0.7865469458483357,3.0,0.769295439632546,0.23270195806490096,0.8286311345182691,0.9923063287912958,0.007693671208704234,4423.0,108.203125,1.0,0.9039226483224715,2.0,0.9259965551181102,0.18148357343116206,0.599527030774053,0.9896030099203772,0.02649166721699181,6925.0,-0.0512183846337389,-0.22910410374421608,-0.0027033188709185696
32,break_3,3,off,22.625,1.0,0.6807633809338332,6.0,0.47755085301837263,0.20515595174182774,1.000000000000001,1.0,-2.220446049250313e-16,1448.0,66.5,1.0,0.7833074090432002,3.0,0.7596169619422573,0.21769863994273442,0.5590369751164707,0.9880329337529217,0.011967066247078328,4256.0,107.65625,1.0,0.8968024119360716,2.0,0.9238435039370079,0.16338582677165356,0.4180179935637376,0.9944178332939774,0.026234242059603896,6890.0,-0.05431281317108086,-0.14101898155273307,0.0063848995410557
33,break_3,3,off,23.640625,1.0,0.6870394293639035,6.0,0.4880843996062992,0.2145939587807206,0.9999999999999993,1.0,2.220446049250313e-16,1513.0,69.71875,1.0,0.7815521554231151,3.0,0.773068405511811,0.25998232820329276,0.6697643110037366,0.989841509880939,0.010158490119061003,4462.0,110.953125,1.0,0.9107290790498919,2.0,0.9368233267716536,0.21575809770937723,0.5634782093197506,0.9941599664628766,0.026391595219217967,7101.0,-0.04422423049391552,-0.106286101683986,0.004318456581937635
34,break_3,3,off,22.15625,1.0,0.676623560462734,6.0,0.47598015091863516,0.20859151306370796,1.0000000000000007,1.0,-2.220446049250313e-16,1418.0,68.234375,1.0,0.7813019279397132,3.0,0.7666092519685039,0.24226765688379864,0.7743031811286508,0.9892856558263614,0.01071434417363859,4367.0,108.78125,1.0,0.9033828964034873,2.0,0.9282726377952756,0.15270538803388212,0.6880816413992263,0.9948787738095807,0.023752196411137683,6962.0,-0.08956226884991653,-0.08622153972942448,0.0055931179832192646
36,break_3,3,off,25.671875,1.0,0.6768106228046384,6.0,0.5090305118110235,0.23259197536387496,0.9999999999999997,1.0,1.1102230246251565e-16,1643.0,75.75,1.0,0.802852236951459,3.0,0.7968955052493438,0.2555270967549511,0.7409564343745944,0.9896405589631033,0.010359441036896677,4848.0,114.34375,1.0,0.927737896406768,2.0,0.9501722440944882,0.15558171528274878,0.5150077332554961,0.9931012752046869,0.028155120145710977,7318.0,-0.09994538147220233,-0.22594870111909826,0.003460716241583617
37,break_3,3,off,24.03125,1.0,0.7002876418383721,7.0,0.4879862673415823,0.20819166070150324,1.0000000000000004,1.0,-2.220446049250313e-16,1538.0,69.734375,1.0,0.7888031701817981,3.0,0.7721456692913385,0.2488517060367454,0.5029002925477986,0.9850430219560843,0.014956978043915714,4463.0,111.90625,1.0,0.917394128599891,2.0,0.9405757874015748,0.21280254563350035,0.5726967038995884,0.9934490312200448,0.0343507647247816,7162.0,-0.036049160403245045,0.06979641135178982,0.008406009263960512
38,break_3,3,off,23.4375,1.0,0.6759263145152479,6.0,0.48681717519685036,0.2124642090193271,1.0000000000000007,1.0,-2.220446049250313e-16,1500.0,69.140625,1.0,0.7908205456445845,3.0,0.769520997375328,0.24665111995943684,0.5931275512228498,0.9861832203652448,0.01381677963475525,4425.0,110.453125,1.0,0.9107535389416679,2.0,0.9348548228346457,0.1675278871391076,0.4168221482561647,0.9920644192267573,0.03479924742524532,7069.0,-0.07912323282032924,-0.17630540296668507,0.005881198861512504
40,break_3,3,off,24.328125,1.0,0.6942206068959142,6.0,0.4904158464566929,0.2172009216177523,1.0,1.0,0.0,1557.0,69.3125,1.0,0.7850478139641689,3.0,0.770874343832021,0.2556016612980196,0.7207912783846171,0.9880132612025364,0.011986738797463592,4436.0,111.3125,1.0,0.9148524847924249,2.0,0.938238188976378,0.23223033732999285,0.35694005027908327,0.9827231520940477,0.045779183910693355,7124.0,-0.02337132396802674,-0.36385122810553383,-0.005290109108488705
41,break_3,3,off,25.0,1.0,0.6856665277784277,6.0,0.49906701115485563,0.22659325787401574,0.9999999999999989,1.0,2.220446049250313e-16,1600.0,72.1875,1.0,0.7871490540502788,3.0,0.783197998687664,0.25163203143641133,0.7636543649864089,0.9880631940867963,0.011936805913203674,4620.0,113.71875,1.0,0.9218378823270152,2.0,0.9477116141732284,0.13406611638033883,0.6197936550625636,0.9933844395366278,0.03082975397411447,7278.0,-0.1175659150560725,-0.14386070992384536,0.00532124544983148
42,break_3,3,off,23.671875,1.0,0.692670200739522,6.0,0.48580216535433063,0.2099970547005488,1.0,1.0,0.0,1515.0,70.171875,1.0,0.7834691748336775,3.0,0.7748523622047244,0.2404212523860654,0.5774448813223249,0.9868037372285565,0.013196262771443479,4491.0,112.265625,1.0,0.9170347867972888,2.0,0.9419906496062992,0.17351355583392986,0.40865171551939583,0.9904456885037388,0.03721251655940527,7185.0,-0.06690769655213555,-0.16879316580292902,0.003641951275182298
43,break_3,3,off,22.0,1.0,0.670550376598514,6.0,0.4779260990813648,0.21470580559532335,1.0,1.0,0.0,1408.0,70.109375,1.0,0.7812394515135114,3.0,0.7745037729658792,0.2431465864352183,0.8117796432260405,0.9889768704953198,0.011023129504680207,4487.0,109.390625,1.0,0.9030640788911685,2.0,0.9306717519685039,0.12963698252207112,0.6637418135159924,0.9951286630971796,0.021524528307444557,7001.0,-0.11350960391314718,-0.14803782971004809,0.006151792601859829
44,break_3,3,off,23.0,1.0,0.6958557958128782,6.0,0.47582020997375324,0.21251454008589835,1.0000000000000007,1.0,-2.220446049250313e-16,1472.0,66.390625,1.0,0.770640158664222,3.0,0.75904281496063,0.2574816198401337,0.7397279885769219,0.985473356510777,0.014526643489222946,4249.0,110.765625,1.0,0.906558688117682,2.0,0.9360851377952756,0.2207874761393462,0.5796997889513236,0.9906544510513887,0.038262692407797005,7089.0,-0.03669414370078747,-0.16002819962559833,0.005181094540611664
46,break_3,3,off,24.765625,1.0,0.6737697026043274,5.0,0.5020218175853018,0.22053302463612504,0.9999999999999998,1.0,0.0,1585.0,73.578125,1.0,0.7920877579013557,3.0,0.7892060367454068,0.23985829008589832,0.8321990173402897,0.9913268823538008,0.008673117646199158,4709.0,113.90625,1.0,0.924001738183169,2.0,0.9484498031496063,0.16185911775232642,0.5900106911891364,0.9915796554237639,0.024776604873785746,7290.0,-0.0779991723335719,-0.24218832615115327,0.0002527730699630748
