feature,break_2_mean,break_3_mean,difference,effect_size,abs_effect_size
delta_persistence_1_to_2,-0.12992139299348945,-0.06963623201373545,-0.060285160979754004,-2.3288621727494725,2.3288621727494725
L2_persistence_score,0.11511207583427072,0.17406987216395384,-0.05895779632968312,-2.0598865322015825,2.0598865322015825
L2_local_overlap,0.9950215847647262,0.9925027312520385,0.0025188535126877687,1.0273422499123177,1.0273422499123177
L0_clustering_coefficient,0.671799652423244,0.6825792032656162,-0.010779550842372143,-0.9326856942365057,0.9326856942365057
delta_local_overlap_1_to_2,0.006554540772284789,0.0037800976730326045,0.0027744430992521847,0.9034219601924893,0.9034219601924893
L0_mean_degree,22.511160714285715,23.353940217391305,-0.8427795031055894,-0.8396059168168825,0.8396059168168825
L0_edge_count,1440.7142857142858,1494.6521739130435,-53.93788819875772,-0.8396059168168825,0.8396059168168825
L2_perturbation_sensitivity,0.0239584182554157,0.028639109782819056,-0.004680691527403354,-0.7865090109550915,0.7865090109550915
L0_persistence_score,0.21899033750042607,0.213920243819572,0.005070093680854065,0.6760263301496271,0.6760263301496271
L1_recovery_score,0.7685378916503609,0.7074951202242047,0.06104277142615622,0.6569418823924005,0.6569418823924005
L2_recovery_score,0.5805238774911432,0.5231073344724395,0.05741654301870369,0.5489400294829987,0.5489400294829987
L2_clustering_coefficient,0.9059990887895012,0.9098634549362725,-0.0038643661467713253,-0.4147408879372375,0.4147408879372375
L1_clustering_coefficient,0.783634603669992,0.7862886088312042,-0.0026540051612121696,-0.3723131751928179,0.3723131751928179
L2_transport_efficiency,0.9319635826771652,0.93503937007874,-0.003075787401574881,-0.36460776397976996,0.36460776397976996
L2_mean_degree,109.71875,110.5,-0.78125,-0.3646077639797604,0.3646077639797604
L2_edge_count,7022.0,7072.0,-50.0,-0.3646077639797604,0.3646077639797604
L0_transport_efficiency,0.4815007499062617,0.4851022740703608,-0.0036015241640990903,-0.3442146304227311,0.3442146304227311
L1_transport_efficiency,0.7686627062242221,0.7719744950359467,-0.0033117888117246697,-0.2985022002483839,0.2985022002483839
L1_mean_degree,68.84598214285714,69.63247282608695,-0.7864906832298146,-0.29260379279575616,0.29260379279575616
L1_edge_count,4406.142857142857,4456.478260869565,-50.33540372670814,-0.29260379279575616,0.29260379279575616
L1_perturbation_sensitivity,0.011532956007558564,0.011277366420994079,0.000255589586564485,0.12591768014013965,0.12591768014013965
L1_local_overlap,0.9884670439924416,0.9887226335790058,-0.00025558958656424213,-0.12591768014002,0.12591768014002
L1_persistence_score,0.24503346882776014,0.2437061041776892,0.001327364650070939,0.12497392078051486,0.12497392078051486
L0_connectivity_diameter,6.0,5.956521739130435,0.04347826086956541,0.10333862342208018,0.10333862342208018
delta_recovery_1_to_2,-0.18801401415921776,-0.18438778575176495,-0.003626228407452803,-0.037050646826545214,0.037050646826545214
L0_largest_component_fraction,1.0,1.0,0.0,0.0,0.0
L0_recovery_score,0.9999999999999999,1.0000000000000002,-3.3306690738754696e-16,0.0,0.0
L0_local_overlap,1.0,1.0,0.0,0.0,0.0
L0_perturbation_sensitivity,7.930164461608261e-17,-4.344350965924526e-17,1.2274515427532788e-16,0.0,0.0
L1_largest_component_fraction,1.0,1.0,0.0,0.0,0.0
L1_connectivity_diameter,3.0,3.0,0.0,0.0,0.0
L2_largest_component_fraction,1.0,1.0,0.0,0.0,0.0
L2_connectivity_diameter,2.0,2.0,0.0,0.0,0.0
