shift,size,perturbation,perturbation_strength,n_runs,n_break_2,n_break_3,n_other,dominant_break_level,split_exists,split_collapsed,threshold,transition_low_seed,transition_high_seed,connected_support_holds,selected_min_largest_component_fraction,selected_max_component_count,break_2_mean_delta_persistence_1_to_2,break_3_mean_delta_persistence_1_to_2,break_2_mean_delta_recovery_1_to_2,break_3_mean_delta_recovery_1_to_2,selected_seeds
0.0,128,0,0.0,31,7,23,1,3,1,0,-0.11761764420782626,35,41,1,1.0,1,-0.12992139299348945,-0.06963623201373545,-0.18801401415921776,-0.18438778575176495,"35,23,47,41,43,21"
0.1,128,0,0.0,31,16,15,0,2,1,0,-0.11568642254235267,38,36,1,1.0,1,-0.1471416497964388,-0.08282548665791775,-0.1662094122197804,-0.1764067779464006,"38,20,34,36,33,46"
0.2,128,0,0.0,31,26,5,0,2,1,0,-0.10221726989382013,32,27,1,1.0,1,-0.1543516154121469,-0.07850788892865665,-0.18038030053943735,-0.22553179645393756,"32,50,37,27,40,31"
0.3,128,0,0.0,31,28,3,0,2,1,0,-0.11175640509424958,32,30,1,1.0,1,-0.16270379421677403,-0.09775442664837353,-0.20299004310827853,-0.2734648961154072,"32,50,40,30,39,31"
0.4,128,0,0.0,31,31,0,0,2,0,1,nan,-1,-1,0,nan,-1,nan,nan,nan,nan,
0.5,128,0,0.0,31,29,0,2,2,0,1,nan,-1,-1,0,nan,-1,nan,nan,nan,nan,
0.6,128,0,0.0,31,19,0,12,2,0,1,nan,-1,-1,0,nan,-1,nan,nan,nan,nan,
0.7,128,0,0.0,31,10,0,21,1,0,1,nan,-1,-1,0,nan,-1,nan,nan,nan,nan,
0.8,128,0,0.0,31,6,0,25,1,0,1,nan,-1,-1,0,nan,-1,nan,nan,nan,nan,
0.9,128,0,0.0,31,4,0,27,1,0,1,nan,-1,-1,0,nan,-1,nan,nan,nan,nan,
1.0,128,0,0.0,31,2,0,29,1,0,1,nan,-1,-1,0,nan,-1,nan,nan,nan,nan,
1.1,128,0,0.0,31,1,0,30,1,0,1,nan,-1,-1,0,nan,-1,nan,nan,nan,nan,
1.2,128,0,0.0,31,0,0,31,1,0,1,nan,-1,-1,0,nan,-1,nan,nan,nan,nan,
